Join_Count,TARGET_FID,TARGET_F_1,objectid,d,c,s,pname,PARISH_GG_,F_yes_sola,F_no_solar,f_installm,F_rent,f_free,f_fully,lantern,lighting_s,home_syste,MEAN_Repay,yes_traini,no_trainin,MEAN_insta,yes_intere,no_interes,fin_husb,Fin_wife,Fin_both,fin_childr,fin_others,decis_husb,decis_wife,decis_both,decis_chil,decis_othe,F150k_yes,F150k_no,supply_sho,voltage_fl,upnpred_in,large_appl,often_brea,unavail_ma,poor_light,no_challen,Rooms_aver,objectid_2,Widow_head,Cement_blo,burnt_bric,Unburnt_br,Mud_and_po,Owner_occu,Rent_priva,Rent_publi,Never_educ,Monogamous,Male_head,Female_hea,High_insta,Yes_LS_upf,No_LS_upfr,LS_prcing,LS_2instal,LS_3instal,LS_4instal,LS__5insta,HS_yes_upf,HS_No_upfr,HS_pricing,HS_2instal,HS_3iinsta,HS_4instal,HS_5instal,HS_6instal,MEAN_HH_si,Urban,Rural,F_flo_eart,F_flo_ramm,F_flo_ceme,MEAN_asset,MEAN_Incom,Detached,Mizigo,Interviewe,lighting,charging,Thatch,gid_1,objectid_1,Satisfied,neutral,unsatisfie
6,6,6,5016,MBARARA,RWAMPARA,MWIZI,NGOMA,10,57.1429,42.8571,0,0,7.69231,92.3077,0,44.4444,55.5556,2,84.6154,15.3846,2,88.8889,11.1111,30.7692,23.0769,23,7.69231,15.3846,30.7692,23.0769,23.0769,7.69231,15.3846,50,50,25,0,0,0,50,0,25,0,4.13636,5016,5.69106,9.52381,19.0476,0,71.4286,100,0,0,11.3043,26.0163,81.8182,18.1818,100,60,40,0,50,50,50,50,0,100,0.8,0,14.2857,14.2857,28.5714,57.1429,5.877272728,9.52381,90.4762,66.6667,4.7619,28.5714,0.926581818,0.4,80.9524,14.2857,21,91.6667,33.3333,0,5245,5016,33.3333,41.6667,25
4,7,7,3847,MBARARA,MBARARA MUNICIPALITY,NYAMITANGA DIVISION,KATETE,11,50,50,8.33333,0,0,91.6667,0,20,80,10,75,25,10,62.5,25,41.6667,25,17,8.33333,8.33333,41.6667,16.6667,25,8.33333,8.33333,100,0,0,50,0,0,50,0,0,0,2.24063,4614,1.47783,11.1111,80,4.44444,4.44444,28.8889,68.8889,0,5.2356,25.6158,56.5217,43.4783,0,66.6667,33.3333,0.2,0,0,0,0,25,75,1.625,33.3333,0,33.3333,33.3333,33.3333,4.674285714,77.7778,22.2222,2.22222,0,88.8889,2.737359365,3.6,26.6667,57.7778,45,100,55.5556,0,1048,4614,81.4815,7.40741,11.1111
5,0,0,4074,MBARARA,MBARARA MUNICIPALITY,KAMUKUZI DIVISION,RUHARO,1,50,50,21.4286,7.14286,0,71.4286,0,44.4444,55.5556,12,66.6667,33.3333,12,81.8182,9.09091,35.7143,7.14286,29,7.14286,21.4286,28.5714,7.14286,35.7143,7.14286,21.4286,100,0,0,0,0,0,66.6667,0,0,33.3333,3.19444,4074,3.5461,16,64,0,12,76,16,4,6.01504,26.9504,74.0741,25.9259,33.3333,75,25,0.2625,100,50,100,100,66.6667,33.3333,1.64,66.6667,66.6667,83.3333,66.6667,66.6667,4.854166667,96.1538,3.84615,20.8333,0,58.3333,5.341381945,1.8,96,4,26,100,66.6667,0,533,4074,28.5714,7.14286,64.2857
5,1,1,4614,MBARARA,MBARARA MUNICIPALITY,KAKOBA DIVISION,KAKOBA,2,60,40,21.4286,0,7.14286,71.4286,0,40,60,20,92,8,15,27.7778,61.1111,48.1481,7.40741,11,7.40741,25.9259,44.4444,11.1111,11.1111,7.40741,22.2222,0,100,0,20,0,0,40,0,20,0,2.24063,4614,1.47783,11.1111,80,4.44444,4.44444,28.8889,68.8889,0,5.2356,25.6158,56.5217,43.4783,0,66.6667,33.3333,0.2,0,0,0,0,25,75,1.625,33.3333,0,33.3333,33.3333,33.3333,4.674285714,77.7778,22.2222,2.22222,0,88.8889,2.737359365,3.6,26.6667,57.7778,45,100,55.5556,0,1048,4614,81.4815,7.40741,11.1111
6,2,2,4945,MBARARA,RWAMPARA,RUGANDO,NYAKABARE,5,60,40,12.5,0,12.5,75,0,66.6667,33.3333,49,14.2857,85.7143,2,100,0,42.8571,0,29,14.2857,14.2857,42.8571,0,28.5714,14.2857,14.2857,75,25,0,100,0,0,0,0,0,0,4.3,4945,6.77966,40,10,0,50,100,0,0,4.54545,27.1186,70,30,0,25,75,3.5,50,50,50,75,0,100,0.65,0,0,0,0,0,6.8,0,100,50,0,40,6.0121713,0,80,0,10,100,83.3333,10,1470,4945,50,16.6667,33.3333
3,3,3,5133,MBARARA,KASHARI,RUBINDI,NYAMIRIRO,6,70,30,7.14286,0,21.4286,71.4286,0,16.6667,83.3333,0,61.5385,38.4615,3,100,0,30.7692,0,31,30.7692,7.69231,15.3846,0,38.4615,38.4615,7.69231,100,0,0,0,25,25,50,0,0,0,3.25,5133,4.13223,0,15.7895,0,78.9474,100,0,0,5.26316,24.7934,75,25,100,75,25,0,50,50,100,100,0,100,0.8,0,0,0,0,0,6.05,5,95,26.3158,26.3158,47.3684,0.85065,0.525,100,0,20,100,92.8571,0,1623,5133,42.8571,28.5714,28.5714
4,28,28,3635,MBARARA,KASHARI,KAGONGI,NSIIKA,35,70,30,28.5714,0,14.2857,57.1429,0,50,50,8,16.6667,83.3333,7,100,0,42.8571,0,43,14.2857,0,14.2857,0,71.4286,14.2857,0,0,100,75,25,0,0,0,0,0,0,4.5,5266,6.06061,0,30,0,70,90,0,0,13.8462,15.1515,50,50,100,100,0,0.673333,0,0,0,0,0,100,20,0,0,0,0,0,6.6,0,100,40,10,50,2.299,1.4,80,0,10,100,66.6667,0,1742,5266,33.3333,50,16.6667
4,29,29,3675,MBARARA,KASHARI,BUBAARE,KAMUSHOKO,37,55,45,7.14286,7.14286,7.14286,71.4286,0,42.8571,57.1429,26,30.7692,69.2308,62.5,75,25,58.3333,8.33333,8,25,0,58.3333,0,8.33333,33.3333,0,50,50,50,0,0,50,0,0,0,0,3.6,4439,6.52174,10,30,0,60,100,0,0,2.17391,17.3913,62.5,37.5,100,33.3333,66.6667,0,33.3333,33.3333,33.3333,33.3333,33.3333,66.6667,0.75,0,33.3333,66.6667,33.3333,33.3333,4.6,0,100,10,30,60,4.862,9.80E-05,40,0,10,83.3333,83.3333,10,1054,4439,40,60,0
5,30,30,3777,MBARARA,RWAMPARA,NDAIJA,KIBAARE,38,60.8696,39.1304,14.2857,0,0,85.7143,0,100,0,58,23.0769,76.9231,58,66.6667,33.3333,71.4286,0,0,7.14286,21.4286,50,7.14286,14.2857,7.14286,21.4286,60,40,0,0,0,0,50,0,50,0,2.6,5365,5.26316,0,0,0,100,90,0,0,10.9091,26.3158,66.6667,33.3333,100,0,100,0.25,0,0,33.3333,33.3333,0,0,0,0,0,0,0,0,5.7,0,100,80,0,20,0.858,10,100,0,10,83.3333,66.6667,0,1825,5365,100,0,0
6,31,31,4247,MBARARA,KASHARI,RUBINDI,KABARE,40,61.2903,38.7097,26.3158,0,5.26316,68.4211,0,37.5,62.5,8.333333333,72.2222,27.7778,9.333333333,41.6667,50,52.6316,10.5263,11,5.26316,21.0526,31.5789,21.0526,21.0526,5.26316,21.0526,0,0,33.3333,33.3333,0,0,33.3333,0,0,0,4.2,4737,1.75439,0,0,0,90,100,0,0,8,33.3333,100,0,100,25,75,0.226667,33.3333,33.3333,33.3333,66.6667,0,100,0.7,0,0,0,0,0,5.8,0,100,60,30,10,1.5247999,1,50,0,10,100,83.3333,0,1218,4737,50,33.3333,16.6667
4,24,24,4760,MBARARA,KASHARI,RUBAYA,RUSHOZI,31,60,40,28.5714,0,7.14286,64.2857,14.2857,42.8571,42.8571,0.5,76.9231,23.0769,0.5,87.5,12.5,75,8.33333,0,16.6667,0,50,8.33333,16.6667,8.33333,16.6667,100,0,50,0,0,25,25,0,0,0,3.45,4760,6.66667,0,30,5,50,95,0,0,10.2041,31.4286,70,30,100,62.5,37.5,0.1075,50,100,50,100,25,75,0.6,25,25,25,25,25,5.3,0,100,40,15,40,9.65984505,0,95,0,20,100,83.3333,0,1240,4760,36.3636,45.4545,18.1818
5,25,25,5266,MBARARA,KASHARI,KASHARE,NCHUNE,32,60,40,33.3333,0,16.6667,50,0,100,0,8,83.3333,16.6667,2,75,25,33.3333,16.6667,17,33.3333,0,33.3333,16.6667,16.6667,33.3333,0,0,0,50,50,0,0,0,0,0,0,4.05,4157,6.38298,5,30,0,65,90,0,5,9.41177,30.8511,75,25,100,71.4286,28.5714,0.166667,50,50,75,75,40,60,1.375,0,0,40,60,60,4.7,0,100,26.3158,15.7895,42.1053,6.32325,0,80,10,20,100,75,0,591,4157,66.6667,16.6667,16.6667
4,26,26,5365,MBARARA,RWAMPARA,BUGAMBA,NGUGO,33,60,40,0,0,0,100,0,100,0,0,16.6667,83.3333,0,75,25,83.3333,16.6667,0,0,0,83.3333,16.6667,0,0,0,33.3333,66.6667,0,0,0,0,100,0,0,0,2.6,5365,5.26316,0,0,0,100,90,0,0,10.9091,26.3158,66.6667,33.3333,100,0,100,0.25,0,0,33.3333,33.3333,0,0,0.8,0,0,0,0,0,5.7,0,100,80,0,20,0.858,10,100,0,10,83.3333,66.6667,0,1825,5365,100,0,0
4,27,27,5338,MBARARA,MBARARA MUNICIPALITY,KAKOBA DIVISION,NYAMITYOBORA,34,50,50,0,0,25,75,33.3333,66.6667,0,0,100,0,0,75,25,66.6667,33.3333,0,0,0,66.6667,33.3333,0,0,0,100,0,0,0,0,0,0,0,0,0,2.24063,4614,1.47783,11.1111,80,4.44444,4.44444,28.8889,68.8889,0,5.2356,25.6158,56.5217,43.4783,0,66.6667,33.3333,0.2,0,0,0,0,25,75,1.625,33.3333,0,33.3333,33.3333,33.3333,4.674285714,77.7778,22.2222,2.22222,0,88.8889,2.737359365,3.6,26.6667,57.7778,45,100,55.5556,0,1048,4614,81.4815,7.40741,11.1111
5,20,20,4184,MBARARA,RWAMPARA,NDAIJA,NYEIHANGA,26,63.6364,36.3636,0,0,0,100,25,50,25,0,28.5714,71.4286,0,100,0,42.8571,14.2857,29,0,14.2857,42.8571,14.2857,28.5714,0,14.2857,0,100,0,0,0,0,100,0,0,0,3,4982,7.69231,30,20,0,40,100,0,0,26,30.7692,60,40,100,66.6667,33.3333,0.15,66.6667,66.6667,33.3333,66.6667,50,50,2,50,50,50,50,50,5.2,0,100,20,30,40,0.4014,0,100,0,10,100,66.6667,0,7093,4982,60,0,40
5,21,21,4439,MBARARA,KASHARI,BUBAARE,KASHAKA,28,60,40,50,0,16.6667,33.3333,0,50,50,98,100,0,16,75,0,20,0,40,20,20,0,0,60,20,20,33.3333,66.6667,25,50,0,0,0,0,25,0,4.1,5349,8.49057,0,30,10,60,95,0,0,9.70874,25.4717,68.4211,31.5789,100,0,100,0.08,20,40,40,40,0,100,0.75,0,0,0,0,0,5.3,0,100,40,10,45,5.3631049,0,35,5,20,100,91.6667,0,7454,5349,75,16.6667,8.33333
7,22,22,649,MBARARA,MBARARA MUNICIPALITY,KAKIIKA DIVISION,KAKIIKA,29,60,40,16.6667,0,0,83.3333,0,25,75,24,100,0,2,50,50,50,0,17,16.6667,16.6667,50,0,16.6667,16.6667,16.6667,0,100,0,0,0,0,100,0,0,0,3.19444,4074,3.5461,16,64,0,12,76,16,4,6.01504,26.9504,74.0741,25.9259,33.3333,75,25,0.2625,100,50,100,100,66.6667,33.3333,1.64,66.6667,66.6667,83.3333,66.6667,66.6667,4.854166667,96.1538,3.84615,20.8333,0,58.3333,5.341381945,1.8,96,4,26,100,66.6667,0,533,4074,28.5714,7.14286,64.2857
6,23,23,4737,MBARARA,KASHARI,KAGONGI,KYANDAHI,30,60,40,0,0,0,100,0,33.3333,66.6667,0,16.6667,83.3333,0,100,0,66.6667,16.6667,17,0,0,33.3333,16.6667,50,0,0,66.6667,33.3333,100,0,0,0,0,0,0,0,2.7,4063,2.63158,0,10,0,90,90,0,0,20,36.8421,100,0,100,0,100,0.2,0,0,0,66.6667,0,100,0.7,0,0,0,0,0,4.5,0,100,60,40,0,0.2355,11,50,0,10,100,100,0,523,4063,33.3333,33.3333,33.3333
4,16,16,3778,MBARARA,MBARARA MUNICIPALITY,KAKIIKA DIVISION,NYARUBANGA,21,60,40,50,0,0,50,0,0,100,26,100,0,26,100,0,50,0,17,0,33.3333,16.6667,33.3333,16.6667,0,33.3333,100,0,75,0,0,0,0,0,25,0,3.19444,4074,3.5461,16,64,0,12,76,16,4,6.01504,26.9504,74.0741,25.9259,33.3333,75,25,0.2625,100,50,100,100,66.6667,33.3333,1.64,66.6667,66.6667,83.3333,66.6667,66.6667,4.854166667,96.1538,3.84615,20.8333,0,58.3333,5.341381945,1.8,96,4,26,100,66.6667,0,533,4074,28.5714,7.14286,64.2857
3,17,17,4063,MBARARA,KASHARI,KAGONGI,NGANGO,22,60,40,0,0,0,83.3333,0,75,25,0,25,75,0,100,0,66.6667,0,17,0,16.6667,33.3333,16.6667,33.3333,0,16.6667,66.6667,33.3333,100,0,0,0,0,0,0,0,2.7,4063,2.63158,0,10,0,90,90,0,0,20,36.8421,100,0,100,0,100,0.2,0,0,0,66.6667,0,100,0.7,0,0,0,0,0,4.5,0,100,60,40,0,0.2355,11,50,0,10,100,100,0,523,4063,33.3333,33.3333,33.3333
7,18,18,4116,MBARARA,KASHARI,RWANYAMAHEMBE,KAKYERERE,23,60,40,41.6667,0,16.6667,41.6667,0,50,50,3,50,50,6.5,62.5,37.5,33.3333,8.33333,17,25,16.6667,16.6667,16.6667,25,25,16.6667,100,0,0,0,0,25,25,0,25,25,3.35455,3898,6.25,9.52381,9.52381,4.7619,57.1429,95.2381,0,0,2.85714,23.2143,66.6667,33.3333,100,25,75,0.1375,33.3333,66.6667,66.6667,100,33.3333,66.6667,2,0,0,0,0,50,5.318181818,23.8095,76.1905,35,25,35,2.241181818,0.8,95.2381,0,21,71.4286,92.8571,0,5955,3898,57.1429,28.5714,14.2857
5,19,19,4157,MBARARA,KASHARI,KASHARE,MITOOZO,24,60,40,8.33333,0,8.33333,83.3333,0,50,50,10.5,83.3333,16.6667,9.5,100,0,20,0,40,30,10,20,10,20,40,10,75,25,0,80,0,0,20,0,0,0,4.05,4157,6.38298,5,30,0,65,90,0,5,9.41177,30.8511,75,25,100,71.4286,28.5714,0.166667,50,50,75,75,40,60,1.375,0,0,40,60,60,4.7,0,100,26.3158,15.7895,42.1053,6.32325,0,80,10,20,100,75,0,591,4157,66.6667,16.6667,16.6667
7,100,100,2369,GULU,GULU MUNICIPALITY,LAYIBI,LIBRARY,122,65,35,23.0769,0,0,69.2308,0,37.5,62.5,2,50,50,3,88.8889,11.1111,61.5385,23.0769,8,7.69231,0,61.5385,23.0769,7.69231,7.69231,0,50,50,0,28.5714,0,14.2857,14.2857,0,14.2857,0,2.18182,2008,6.66667,4.7619,23.8095,47.619,4.7619,71.4286,14.2857,4.7619,11.7647,25.8333,57.1429,42.8571,100,42.8571,57.1429,0.075,0,0,0,50,0,100,1.5,0,0,0,0,25,5.709090909,100,0,19.0476,57.1429,23.8095,0.731745455,0,9.52381,4.7619,21,100,76.9231,61.9048,635,2008,53.8462,15.3846,30.7692
5,101,101,782,GULU,GULU MUNICIPALITY,PECE,VANGUARD,123,56.6667,43.3333,0,0,5.55556,88.8889,9.09091,63.6364,27.2727,0,52.9412,47.0588,0,84.6154,15.3846,50,33.3333,6,11.1111,0,50,27.7778,5.55556,11.1111,5.55556,100,0,50,0,0,50,0,0,0,0,2.2,2634,4.25532,20,30,50,0,90,10,0,4.65116,29.7872,90,10,100,25,75,0.08,0,100,100,50,0,100,3.8,0,25,25,25,50,4.7,100,0,0,50,50,1.3397098,0,30,0,10,100,66.6667,60,787,2634,50,16.6667,33.3333
5,102,102,3179,GULU,GULU MUNICIPALITY,LAROO,IRIAGA,124,60,40,0,0,16.6667,83.3333,0,66.6667,33.3333,0,40,60,0,75,25,50,16.6667,0,16.6667,16.6667,33.3333,16.6667,16.6667,16.6667,16.6667,0,100,0,0,0,0,0,0,0,0,2.18182,2008,6.66667,4.7619,23.8095,47.619,4.7619,71.4286,14.2857,4.7619,11.7647,25.8333,57.1429,42.8571,100,42.8571,57.1429,0.075,0,0,0,50,0,100,0.5,0,0,0,0,25,5.709090909,100,0,19.0476,57.1429,23.8095,0.731745455,0,9.52381,4.7619,21,100,76.9231,61.9048,635,2008,53.8462,15.3846,30.7692
6,103,103,2885,GULU,GULU MUNICIPALITY,LAYIBI,PATUDA,125,60,40,16.6667,0,0,83.3333,0,25,75,24,66.6667,33.3333,0,100,0,66.6667,16.6667,17,0,0,66.6667,0,33.3333,0,0,50,50,25,25,25,0,0,0,25,0,2.18182,2008,6.66667,4.7619,23.8095,47.619,4.7619,71.4286,14.2857,4.7619,11.7647,25.8333,57.1429,42.8571,100,42.8571,57.1429,0.075,0,0,0,50,0,100,1.5,0,0,0,0,25,5.709090909,100,0,19.0476,57.1429,23.8095,0.731745455,0,9.52381,4.7619,21,100,76.9231,61.9048,635,2008,53.8462,15.3846,30.7692
8,96,96,3296,GULU,ASWA,BUNGATIRA,AGONGA,118,65,35,25,0,8.33333,66.6667,0,100,0,10,9.09091,90.9091,6,100,0,50,16.6667,17,16.6667,0,8.33333,8.33333,66.6667,16.6667,0,60,40,0,20,40,0,0,0,0,20,2.5,1960,3.7037,10,3.33333,76.6667,0,83.3333,16.6667,0,8.125,25.9259,76.6667,23.3333,0,37.5,62.5,0.01,0,20,40,40,0,100,1,0,0,0,0,0,5.4,20,80,26.6667,53.3333,10,1.347337037,0.033333333,3.33333,3.33333,30,88.8889,83.3333,76.6667,375,1960,72.2222,5.55556,22.2222
5,97,97,3382,GULU,ASWA,BUNGATIRA,ATIABAR,119,56.6667,43.3333,10.5263,0,0,84.2105,40,60,0,16,37.5,62.5,19,54.5455,45.4545,77.7778,11.1111,0,0,11.1111,61.1111,16.6667,11.1111,0,11.1111,40,60,33.3333,16.6667,0,0,16.6667,16.6667,16.6667,0,1.8125,2228,1.72414,0,0,97.3684,2.63158,94.7368,0,0,15.814,18.5345,83.7838,16.2162,100,40,60,0.075,0,0,16.6667,100,14.2857,85.7143,1,0,0,0,0,0,6.08125,0,100,15.7895,81.5789,2.63158,1.89982365,0,0,0,38,82.6087,78.2609,97.3684,363,2228,50,36.3636,13.6364
6,98,98,2094,GULU,GULU MUNICIPALITY,LAROO,AGWEE,120,65,35,14.2857,0,7.14286,78.5714,40,60,0,16,60,40,0,71.4286,28.5714,53.8462,30.7692,0,0,15.3846,38.4615,30.7692,15.3846,0,15.3846,33.3333,66.6667,0,28.5714,14.2857,14.2857,28.5714,0,0,14.2857,2.18182,2008,6.66667,4.7619,23.8095,47.619,4.7619,71.4286,14.2857,4.7619,11.7647,25.8333,57.1429,42.8571,100,42.8571,57.1429,0.075,0,0,0,50,0,100,0.5,0,0,0,0,25,5.709090909,100,0,19.0476,57.1429,23.8095,0.731745455,0,9.52381,4.7619,21,100,76.9231,61.9048,635,2008,53.8462,15.3846,30.7692
6,99,99,2337,GULU,ASWA,BUNGATIRA,OITINO,121,60,40,10,0,15,75,0,100,0,2,55.5556,44.4444,12,87.5,0,55,5,10,20,5,50,5,20,20,0,50,50,0,0,33.3333,0,0,0,0,33.3333,3.4,2355,3.38983,10,40,10,0,70,0,30,3.57143,23.7288,70,30,100,100,0,1,0,0,0,0,50,50,1,0,0,0,0,0,5.9,100,0,10,10,50,2.8525,0,50,0,10,100,100,20,2340,2355,14.2857,28.5714,57.1429
6,76,76,2710,GULU,ASWA,AWACH,GWENGDIYA,97,60,40,22.2222,0,16.6667,61.1111,25,75,0,17.66666667,50,50,13.66666667,91.6667,8.33333,44.4444,0,28,16.6667,5.55556,38.8889,0,33.3333,16.6667,5.55556,70,30,0,75,0,0,25,0,0,0,2.6,2388,3.09278,0,3.33333,96.6667,0,86.6667,0,0,12.8342,20.6186,83.3333,16.6667,100,25,75,0,42.8571,57.1429,71.4286,85.7143,25,75,0.25,0,0,0,0,0,6.566666667,0,100,16.6667,80,3.33333,4.380143133,0,3.33333,0,30,82.3529,88.2353,96.6667,4216,2388,41.1765,41.1765,17.6471
6,77,77,2761,GULU,ASWA,BUNGATIRA,LAROO,98,56.6667,43.3333,16.6667,5.55556,11.1111,66.6667,9.09091,63.6364,27.2727,3,64.2857,35.7143,4,76.9231,15.3846,50,22.2222,17,11.1111,0,38.8889,16.6667,33.3333,11.1111,0,87.5,12.5,75,12.5,0,0,12.5,0,0,0,2.5,1960,3.7037,10,3.33333,76.6667,0,83.3333,16.6667,0,8.125,25.9259,76.6667,23.3333,0,37.5,62.5,0.01,0,20,40,40,0,100,0.5,0,0,0,0,0,5.4,20,80,26.6667,53.3333,10,1.347337037,0.033333333,3.33333,3.33333,30,88.8889,83.3333,76.6667,375,1960,72.2222,5.55556,22.2222
6,78,78,2869,GULU,GULU MUNICIPALITY,PECE,LABOUR LINE,99,50,50,0,0,0,100,33.3333,0,66.6667,0,60,40,0,60,40,40,20,0,20,20,40,20,0,20,20,50,50,0,0,0,0,0,0,0,0,2.18182,2008,6.66667,4.7619,23.8095,47.619,4.7619,71.4286,14.2857,4.7619,11.7647,25.8333,57.1429,42.8571,100,42.8571,57.1429,0.075,0,0,0,50,0,100,3.8,0,0,0,0,25,5.709090909,100,0,19.0476,57.1429,23.8095,0.731745455,0,9.52381,4.7619,21,100,76.9231,61.9048,635,2008,53.8462,15.3846,30.7692
